src_ip,dest_ip,dest_port,protocol,username,severity,alert_type,raw_log,country,is_bad_ip,is_off_hours,timestamp
192.168.1.8,10.0.0.15,21,TCP,user3,CRITICAL,Privilege Escalation,Unauthorized root access,China,False,False,2026-04-03 11:14:30
192.168.1.18,10.0.0.5,3389,TCP,user9,HIGH,SQL Injection,Suspicious SQL query in request,Germany,False,True,2026-04-03 11:14:35
192.168.1.2,10.0.0.7,3389,TCP,user2,HIGH,Brute Force,Multiple failed login attempts detected,USA,True,True,2026-04-03 11:14:40
192.168.1.15,10.0.0.6,22,TCP,user12,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,True,False,2026-04-03 11:14:45
192.168.1.21,10.0.0.15,80,TCP,user15,CRITICAL,Data Exfiltration,Large outbound data transfer,China,False,True,2026-04-03 11:14:50
192.168.1.18,10.0.0.9,3389,TCP,user13,MEDIUM,XSS Attack,Script injection detected in URL,Germany,False,False,2026-04-03 11:14:55
192.168.1.21,10.0.0.12,3389,TCP,user16,HIGH,Brute Force,Multiple failed login attempts detected,USA,True,True,2026-04-03 11:15:00
45.33.32.156,10.0.0.4,22,TCP,user19,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,False,2026-04-03 11:15:05
192.168.1.11,10.0.0.8,21,TCP,user14,CRITICAL,DDoS,High traffic spike detected,China,False,True,2026-04-03 11:15:10
192.168.1.7,10.0.0.12,80,TCP,user16,CRITICAL,DDoS,High traffic spike detected,USA,True,False,2026-04-03 11:15:15
192.168.1.9,10.0.0.18,3389,TCP,user6,HIGH,Brute Force,Multiple failed login attempts detected,China,False,False,2026-04-03 11:15:20
203.0.113.5,10.0.0.11,22,TCP,user19,MEDIUM,XSS Attack,Script injection detected in URL,Germany,False,False,2026-04-03 11:15:25
192.168.1.40,10.0.0.17,443,TCP,user14,MEDIUM,XSS Attack,Script injection detected in URL,USA,False,True,2026-04-03 11:15:30
192.168.1.30,10.0.0.11,21,TCP,user15,HIGH,Brute Force,Multiple failed login attempts detected,USA,False,True,2026-04-03 11:15:35
192.168.1.35,10.0.0.16,80,TCP,user20,LOW,Normal Traffic,Regular user activity,China,True,False,2026-04-03 11:15:40
192.168.1.23,10.0.0.14,3389,TCP,user11,LOW,Normal Traffic,Regular user activity,USA,True,True,2026-04-03 11:15:45
192.168.1.11,10.0.0.19,443,TCP,user20,CRITICAL,Data Exfiltration,Large outbound data transfer,Germany,True,True,2026-04-03 11:15:50
192.168.1.24,10.0.0.2,22,TCP,user3,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,True,True,2026-04-03 11:15:55
192.168.1.25,10.0.0.7,21,TCP,user1,HIGH,SQL Injection,Suspicious SQL query in request,Germany,False,True,2026-04-03 11:16:00
192.168.1.17,10.0.0.10,21,TCP,user9,HIGH,SQL Injection,Suspicious SQL query in request,China,False,True,2026-04-03 11:16:05
192.168.1.44,10.0.0.16,22,TCP,user3,CRITICAL,Privilege Escalation,Unauthorized root access,USA,True,False,2026-04-03 11:16:10
192.168.1.14,10.0.0.4,21,TCP,user1,CRITICAL,DDoS,High traffic spike detected,Germany,True,True,2026-04-03 11:16:15
192.168.1.14,10.0.0.6,80,TCP,user14,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,False,2026-04-03 11:16:20
192.168.1.29,10.0.0.16,80,TCP,user19,CRITICAL,Data Exfiltration,Large outbound data transfer,China,False,False,2026-04-03 11:16:25
192.168.1.38,10.0.0.1,22,TCP,user4,LOW,Normal Traffic,Regular user activity,USA,False,False,2026-04-03 11:16:30
192.168.1.13,10.0.0.18,3389,TCP,user1,CRITICAL,DDoS,High traffic spike detected,India,True,False,2026-04-03 11:16:35
192.168.1.22,10.0.0.18,80,TCP,user3,CRITICAL,Data Exfiltration,Large outbound data transfer,China,True,True,2026-04-03 11:16:40
192.168.1.1,10.0.0.15,80,TCP,user11,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,False,True,2026-04-03 11:16:45
192.168.1.31,10.0.0.14,443,TCP,user1,CRITICAL,DDoS,High traffic spike detected,India,False,False,2026-04-03 11:16:50
192.168.1.14,10.0.0.1,22,TCP,user19,CRITICAL,DDoS,High traffic spike detected,India,False,True,2026-04-03 11:16:55
192.168.1.4,10.0.0.20,80,TCP,user6,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,False,2026-04-03 11:17:00
192.168.1.12,10.0.0.7,21,TCP,user17,HIGH,Brute Force,Multiple failed login attempts detected,USA,True,False,2026-04-03 11:17:05
192.168.1.27,10.0.0.18,3389,TCP,user8,CRITICAL,DDoS,High traffic spike detected,China,False,True,2026-04-03 11:17:10
